len, freq, err, condition, pred
4, 0.001, 0, age<=29.5 & balance>9087 & duration<=287.5 & housing_no>0.5, 1
1, 0.366, 0.109233133678628, day<=12.5, 0.124810892586989
3, 0, 0, day>12.5 & duration>287.5 & month_mar>0.5, 0
4, 0.001, 0, day<=17.5 & duration>287.5 & duration<=852.5 & pdays>371.5, 1
1, 0.454, 0.0903895312006243, day>17.5, 0.100487210718636
2, 0.001, 0, duration>852.5 & pdays>371.5, 0
3, 0.001, 0, duration>287.5 & campaign<=2.5 & month_dec>0.5, 1
1, 0.977, 0.101735756179708, balance<=8725.5, 0.114949037372593
3, 0, 0, duration>431 & contact_telephone>0.5 & month_dec>0.5, 1
2, 0.823, 0.0588692008793427, age<=75.5 & duration<=393.5, 0.0628149143432986
1, 0.994, 0.100204725058056, age<=75.5, 0.112966054535337
2, 0.256, 0.0138713198778134, duration<=297.5 & contact_cellular<=0.5, 0.0140692640692641
3, 0.002, 0, age>75.5 & duration<=393.5 & duration>297.5, 1
1, 0.748, 0.10207100591716, day<=21.5, 0.115384615384615
3, 0.002, 0, day>21.5 & campaign<=1.5 & month_oct>0.5, 1
2, 0.5, 0.0443249504096012, duration<=393.5 & campaign>1.5, 0.0464858882125069
2, 0.345, 0.0529436842537804, contact_cellular<=0.5 & month_dec<=0.5, 0.0560897435897436
1, 0.172, 0.229983664354173, duration>393.5, 0.358520900321543
3, 0, 0, duration>393.5 & contact_cellular<=0.5 & month_dec>0.5, 1
3, 0, 0, duration>393.5 & job_retired>0.5 & month_mar>0.5, 1
1, 0.978, 0.0985698491021887, job_student<=0.5, 0.110859728506787
1, 0.826, 0.106027278897862, day<=25.5, 0.120562625586068
2, 0, 0, day>25.5 & month_mar>0.5, 0
1, 0.495, 0.0845919290908523, balance<=426.5, 0.0932960893854749
1, 0.505, 0.118563970109253, balance>426.5, 0.137458926615553
1, 0.54, 0.154888428849772, duration>166.5, 0.191598360655738
1, 0.42, 0.0231529941102033, duration<=154.5, 0.0237154150197628
1, 0.58, 0.148925709809424, duration>154.5, 0.182078169685415
3, 0.002, 0, duration>154.5 & month_jun>0.5 & poutcome_success>0.5, 1
3, 0.005, 0.172839506172839, duration>326.5 & contact_cellular>0.5 & month_jun>0.5, 0.777777777777778
4, 0, 0, duration>326.5 & education_primary>0.5 & contact_cellular>0.5 & month_jun>0.5, 0
1, 0.257, 0.0760149286070998, balance<=66.5, 0.0828848223896663
3, 0.001, 0, balance<=66.5 & duration<=990.5 & duration>934.5, 0
3, 0.001, 0, balance<=66.5 & balance>10.5 & duration>990.5, 1
1, 0.001, 0, duration>2031, 0
3, 0.001, 0, age>57.5 & duration>990.5 & duration<=1111, 1
3, 0, 0, age>57.5 & duration>990.5 & campaign<=1.5, 1
4, 0, 0, age>57.5 & balance<=66.5 & duration>1111 & campaign>1.5, 0
1, 0.948, 0.083424611293667, duration<=731.5, 0.0918635170603675
1, 0.977, 0.0964087565244601, age<=63.5, 0.108092812676853
2, 0.001, 0, age>63.5 & housing_no<=0.5, 1
1, 0.743, 0.110801860783613, balance>66.5, 0.126907331596576
1, 0.228, 0.0167016212649637, duration<=96.5, 0.0169902912621359
1, 0.878, 0.0951236654473309, age<=54.5, 0.106456692913386
1, 0.122, 0.148497796699935, age>54.5, 0.18140589569161
1, 0.373, 0.0160307270233196, duration<=139.5, 0.0162962962962963
2, 0.052, 0.0455805794477139, duration<=139.5 & previous>0.5, 0.0478723404255319
1, 0.156, 0.0674104672803179, loan_no<=0.5, 0.0726950354609929
2, 0.113, 0.0741745924522211, loan_no<=0.5 & contact_unknown<=0.5, 0.0806845965770171
1, 0.627, 0.144217174097464, duration>139.5, 0.174757281553398
3, 0.004, 0.177514792899408, duration>421.5 & contact_unknown<=0.5 & month_jun>0.5, 0.769230769230769
2, 0.24, 0.00687252307802828, duration<=411.5 & contact_unknown>0.5, 0.0069204152249135
2, 0.242, 0.007936, duration<=425.5 & contact_unknown>0.5, 0.008
1, 0.291, 0.0741415192507804, balance<=105.5, 0.0806451612903226
4, 0.002, 0, balance<=105.5 & duration>1016 & campaign<=1.5 & month_apr<=0.5, 1
3, 0.007, 0, balance<=105.5 & day<=18.5 & month_apr>0.5, 0
1, 0.709, 0.113082669240768, balance>105.5, 0.129976580796253
1, 0.814, 0.0597996893981457, duration<=376.5, 0.0638803941556235
